x,W,c,g,p,q,Fs,Mb,Fs_nomoon,Mb_nomoon
79.653333,0.750000,2.500000,3.250000,3.145306,-0.104694,-15.299365,1022.456581,-16.039031,1017.936838
79.701667,0.750000,2.500000,3.250000,3.144807,-0.105193,-15.304437,1021.716989,-16.045693,1017.161457
79.750000,0.750000,2.500000,3.250000,3.144307,-0.105693,-15.309534,1020.977151,-16.052380,1016.385754
79.798333,0.750000,2.500000,3.250000,3.143807,-0.106193,-15.314654,1020.237067,-16.059093,1015.609726
79.846667,0.750000,2.500000,3.250000,3.143307,-0.106693,-15.319799,1019.496734,-16.065831,1014.833374
79.895000,0.750000,2.500000,3.250000,3.142808,-0.107192,-15.324968,1018.756152,-16.072595,1014.056696
79.943333,0.750000,2.500000,3.250000,3.142308,-0.107692,-15.330161,1018.015320,-16.079385,1013.279689
79.991667,0.750000,2.500000,3.250000,3.141808,-0.108192,-15.335378,1017.274236,-16.086199,1012.502354
80.040000,0.750000,2.500000,3.250000,3.141308,-0.108692,-15.340620,1016.532900,-16.093040,1011.724689
80.088333,0.750000,2.500000,3.250000,3.140809,-0.109191,-15.345885,1015.791309,-16.099906,1010.946693
80.136667,0.750000,2.500000,3.250000,3.140309,-0.109691,-15.351175,1015.049463,-16.106797,1010.168365
80.185000,0.750000,2.500000,3.250000,3.139809,-0.110191,-15.356489,1014.307362,-16.113714,1009.389702
80.233333,0.750000,2.500000,3.250000,3.139309,-0.110691,-15.361827,1013.565002,-16.120657,1008.610705
80.281667,0.750000,2.500000,3.250000,3.138809,-0.111191,-15.367189,1012.822384,-16.127625,1007.831371
80.330000,0.750000,2.500000,3.250000,3.138310,-0.111690,-15.372575,1012.079507,-16.134619,1007.051701
80.378333,0.750000,2.500000,3.250000,3.137810,-0.112190,-15.377986,1011.336368,-16.141638,1006.271691
80.426667,0.750000,2.500000,3.250000,3.137310,-0.112690,-15.383420,1010.592968,-16.148683,1005.491342
80.475000,0.750000,2.500000,3.250000,3.136810,-0.113190,-15.388879,1009.849304,-16.155753,1004.710651
80.523333,0.750000,2.500000,3.250000,3.136311,-0.113689,-15.394362,1009.105375,-16.162849,1003.929618
80.571667,0.750000,2.500000,3.250000,3.135811,-0.114189,-15.399869,1008.361182,-16.169970,1003.148242
80.620000,0.750000,2.500000,3.250000,3.135311,-0.114689,-15.405400,1007.616721,-16.177117,1002.366520
80.668333,0.750000,2.500000,3.250000,3.134811,-0.115189,-15.410955,1006.871992,-16.184290,1001.584453
80.716667,0.750000,2.500000,3.250000,3.134312,-0.115688,-15.416535,1006.126995,-16.191488,1000.802038
80.765000,0.750000,2.500000,3.250000,3.133812,-0.116188,-15.422139,1005.381727,-16.198711,1000.019275
80.813333,0.750000,2.500000,3.250000,3.133312,-0.116688,-15.427767,1004.636187,-16.205960,999.236162
80.861667,0.750000,2.500000,3.250000,3.132812,-0.117188,-15.433419,1003.890375,-16.213235,998.452698
80.910000,0.750000,2.500000,3.250000,3.132312,-0.117688,-15.439095,1003.144290,-16.220535,997.668882
80.958333,0.750000,2.500000,3.250000,3.131813,-0.118187,-15.444795,1002.397929,-16.227861,996.884713
81.006667,0.750000,2.500000,3.250000,3.131313,-0.118687,-15.450519,1001.651292,-16.235212,996.100189
81.055000,0.750000,2.500000,3.250000,3.130813,-0.119187,-15.456268,1000.904378,-16.242589,995.315308
81.103333,0.750000,2.500000,3.250000,3.130313,-0.119687,-15.462041,1000.157186,-16.249991,994.530071
81.151667,0.750000,2.500000,3.250000,3.129814,-0.120186,-15.467838,999.409714,-16.257419,993.744475
81.200000,0.750000,2.500000,3.250000,3.129314,-0.120686,-15.473659,998.661961,-16.264872,992.958520
81.248333,0.750000,2.500000,3.250000,3.128814,-0.121186,-15.479504,997.913926,-16.272351,992.172204
81.296667,0.750000,2.500000,3.250000,3.128314,-0.121686,-15.485373,997.165608,-16.279856,991.385525
81.345000,0.750000,2.500000,3.250000,3.127815,-0.122185,-15.491267,996.417006,-16.287386,990.598484
81.393333,0.750000,2.500000,3.250000,3.127315,-0.122685,-15.497185,995.668118,-16.294941,989.811077
81.441667,0.750000,2.500000,3.250000,3.126815,-0.123185,-15.503127,994.918944,-16.302522,989.023305
